,0
2020.06.15~2020.06.19,"['000012.SZ', '000878.SZ', '600111.SH', '000962.SZ', '600997.SH', '300405.SZ', '300082.SZ', '603026.SH', '300498.SZ', '002124.SZ']"
2020.08.17~2020.08.21,"['002623.SZ', '600497.SH', '000831.SZ', '600366.SH', '603799.SH', '601969.SH', '000898.SZ', '601678.SH', '002455.SZ']"
2020.10.12~2020.10.16,"['002428.SZ', '601699.SH', '600803.SH', '002221.SZ', '600586.SH', '000635.SZ', '002068.SZ', '601678.SH', '000949.SZ', '601118.SH']"
2021.05.17~2021.05.21,"['600876.SH', '601958.SH', '603993.SH', '000962.SZ', '600740.SH', '600803.SH', '000545.SZ', '002064.SZ', '002895.sz', '002258.SZ']"
2020.12.07~2020.12.11,"['002613.SZ', '002182.SZ', '601666.SH', '000159.SZ', '000683.SZ', '002221.SZ', '002386.SZ', '002068.SZ', '002258.SZ', '002234.SZ']"
2021.04.26~2021.05.07,"['000878.SZ', '002182.SZ', '600508.SH', '000778.SZ', '002136.SZ', '000703.SZ', '002588.SZ', '002258.SZ', '600596.SH', '600737.SH']"
2020.09.28~2020.10.09,"['600585.SH', '000012.SZ', '002428.SZ', '600348.SH', '002274.SZ', '000822.SZ', '000635.SZ', '601678.SH', '600527.SH', '600486.SH']"
2020.08.10~2020.08.14,"['000012.SZ', '600497.SH', '600392.SH', '000795.SZ', '601969.SH', '002221.SZ', '600844.SH', '601678.SH', '002455.SZ', '601118.SH']"
2020.07.06~2020.07.10,"['000012.SZ', '000630.SZ', '601600.SH', '600531.SH', '002002.SZ', '300405.SZ', '300082.SZ', '601678.SH', '000818.SZ', '002714.SZ']"
2020.03.08~2020.03.12,"['002182.SZ', '601216.SH', '002601.SZ', '601233.SH', '002588.SZ', '600426.SH', '002001.SZ', '002562.SZ', '000930.SZ', '603079.sh']"
2020.11.09~2020.11.13,"['601958.SH', '603993.SH', '002110.SZ', '000635.SZ', '002068.SZ', '002061.SZ', '002254.SZ', '002538.SZ', '002299.SZ', '002234.SZ']"
2020.09.14~2020.09.18,"['600585.SH', '000012.SZ', '601088.SH', '000937.SZ', '000717.SZ', '000822.SZ', '600409.SH', '601678.SH', '002408.SZ', '600486.SH']"
2020.12.14~2020.12.18,"['002623.SZ', '002171.SZ', '300127.SZ', '600508.SH', '600722.SH', '002221.SZ', '002442.SZ', '601678.SH', '603599.SH', '002125.sz']"
2020.12.28~2020.12.31,"['002613.SZ', '000831.SZ', '600459.SH', '601225.SH', '002221.SZ', '600256.SH', '600810.SH', '002258.SZ', '002562.SZ', '002125.sz']"
2021.04.05~2021.04.09,"['000962.SZ', '000629.SZ', '002601.SZ', '002061.SZ', '600063.SH', '002258.SZ', '300401.SZ', '002019.SZ', '300094.SZ', '002125.sz']"
2020.03.01~2020.03.05,"['002182.SZ', '002601.SZ', '300405.SZ', '600527.SH', '601233.SH', '000985.SZ', '600426.SH', '300401.SZ', '002562.SZ', '600873.SH']"
2021.04.19~2021.04.23,"['601168.SH', '000960.SZ', '600549.SH', '002182.SZ', '000983.SZ', '002061.SZ', '002408.SZ', '600810.SH', '002258.SZ', '600596.SH']"
2021.04.12~2021.04.16,"['000877.SZ', '000762.SZ', '000962.SZ', '000629.SZ', '002601.SZ', '002061.SZ', '002254.SZ', '002258.SZ', '002019.SZ', '000930.SZ']"
2020.03.22~2020.03.26,"['000962.SZ', '002497.SZ', '000629.SZ', '002601.SZ', '002061.SZ', '300505.SZ', '600216.SH', '300401.SZ', '002562.SZ', '000930.SZ']"
2020.11.23~2020.11.27,"['002171.SZ', '002114.SZ', '601666.SH', '600688.SH', '600387.SH', '000635.SZ', '002442.SZ', '300405.SZ', '002061.SZ', '002234.SZ']"
